station,n_seen,n_used,use_rate,med_snr,med_station_vr,med_shift_s,med_abs_shift_s,med_amp_ratio,n_nodata,n_snr,n_amp,n_not_selected,n_fit,n_shift,n_abort,n_other,last_event
NZ.ABAZ,5,0,0.0,,,,,,0,0,0,0,0,0,0,5,2026-05-05
NZ.AKFZ,1,0,0.0,,,,,,0,0,0,0,0,0,0,1,2026-05-05
NZ.APZ,122,70,0.57,3.1,44.0,7.0,7.0,1.02,1,4,0,0,1,3,2,41,2026-09-02
NZ.AWKZ,2,0,0.0,,,,,,0,0,0,0,0,0,0,2,2023-02-02
NZ.BFZ,107,39,0.36,,23.2,10.0,10.0,0.93,0,0,0,0,0,0,0,68,2026-09-04
NZ.BKZ,112,35,0.31,2.9,49.2,4.0,8.0,0.87,0,0,0,0,0,1,0,76,2026-08-11
NZ.BSWZ,63,19,0.3,1.9,39.6,2.0,4.0,0.93,0,0,0,1,0,0,0,43,2026-09-04
NZ.COVZ,99,25,0.25,3.8,45.0,8.0,8.0,1.08,0,0,0,0,0,0,0,74,2026-09-05
NZ.CVZ,65,25,0.38,3.5,56.7,3.0,3.0,1.15,0,0,0,3,2,0,0,35,2026-09-04
NZ.DBHZ,21,11,0.52,16.4,74.4,2.0,2.0,1.0,0,0,0,0,1,0,0,9,2026-09-02
NZ.DCZ,167,67,0.4,2.1,32.9,3.0,4.0,0.85,0,12,0,0,3,3,0,82,2026-09-04
NZ.DSZ,79,27,0.34,,36.2,2.0,3.0,1.09,0,0,0,0,0,0,0,52,2026-07-12
NZ.EAZ,80,26,0.33,1.4,67.2,3.0,3.0,1.27,0,7,0,0,3,0,0,44,2026-09-04
NZ.ERWZ,13,6,0.46,7.3,71.7,3.0,3.0,1.18,0,1,0,1,1,0,0,4,2026-09-04
NZ.ETVZ,92,5,0.05,0.8,10.3,12.0,12.0,1.03,0,0,0,1,0,0,0,86,2026-09-05
NZ.FEGZ,26,4,0.15,3.2,29.7,4.0,4.0,1.67,0,0,1,1,0,0,0,20,2026-09-05
NZ.FOZ,75,31,0.41,1.5,51.1,2.0,2.0,0.91,0,2,0,5,1,0,0,36,2026-09-04
